編號,樣本ID,完整檔名,檔案大小(MB)
1,DRR019499,DRR019499_1.fastq,14401.54
2,DRR019499,DRR019499_2.fastq,14401.54
3,ERR2031964,ERR2031964_1.fastq,7283.22
4,ERR2031964,ERR2031964_2.fastq,7307.13
5,ERR2696421,ERR2696421_1.fastq,2642.56
6,ERR2696422,ERR2696422_1.fastq,2873.62
7,ERR2696423,ERR2696423_1.fastq,2244.4
8,ERR2696424,ERR2696424_1.fastq,2040.07
9,ERR2696425,ERR2696425_1.fastq,2812.94
10,ERR2696426,ERR2696426_1.fastq,2952.4
11,ERR2696427,ERR2696427_1.fastq,2702.35
12,ERR2696428,ERR2696428_1.fastq,2455.37
13,ERR317241,ERR317241_1.fastq,3422.62
14,ERR317241,ERR317241_2.fastq,3422.62
15,ERR317255,ERR317255_1.fastq,3640.45
16,ERR317255,ERR317255_2.fastq,3640.45
17,ERR317256,ERR317256_1.fastq,3360.73
18,ERR317256,ERR317256_2.fastq,3360.73
19,ERR317261,ERR317261_1.fastq,2880.45
20,ERR317261,ERR317261_2.fastq,2880.45
21,ERR317264,ERR317264_1.fastq,12135.0
22,ERR317264,ERR317264_2.fastq,12135.0
23,ERR317272,ERR317272_1.fastq,9148.7
24,ERR317272,ERR317272_2.fastq,9148.7
25,ERR317274,ERR317274_1.fastq,7532.8
26,ERR317274,ERR317274_2.fastq,7532.8
27,ERR317275,ERR317275_1.fastq,9108.29
28,ERR317275,ERR317275_2.fastq,9108.29
29,ERR317281,ERR317281_1.fastq,8466.69
30,ERR317281,ERR317281_2.fastq,8466.69
31,ERR317283,ERR317283_1.fastq,2555.83
32,ERR317283,ERR317283_2.fastq,2555.83
33,ERR317284,ERR317284_1.fastq,7592.55
34,ERR317284,ERR317284_2.fastq,7592.55
35,ERR317288,ERR317288_1.fastq,6747.1
36,ERR317288,ERR317288_2.fastq,6747.1
37,ERR317289,ERR317289_1.fastq,2092.41
38,ERR317289,ERR317289_2.fastq,2092.41
39,ERR317296,ERR317296_1.fastq,3322.67
40,ERR317296,ERR317296_2.fastq,3322.67
41,ERR317297,ERR317297_1.fastq,5799.38
42,ERR317297,ERR317297_2.fastq,5799.38
43,ERR317302,ERR317302_1.fastq,6754.31
44,ERR317302,ERR317302_2.fastq,6754.31
45,ERR317303,ERR317303_1.fastq,3026.34
46,ERR317303,ERR317303_2.fastq,3026.34
47,ERR317304,ERR317304_1.fastq,4675.89
48,ERR317304,ERR317304_2.fastq,4675.89
49,ERR317306,ERR317306_1.fastq,4809.91
50,ERR317306,ERR317306_2.fastq,4809.91
51,ERR317309,ERR317309_1.fastq,4231.4
52,ERR317309,ERR317309_2.fastq,4231.4
53,ERR317311,ERR317311_1.fastq,5721.02
54,ERR317311,ERR317311_2.fastq,5721.02
55,ERR317312,ERR317312_1.fastq,3815.41
56,ERR317312,ERR317312_2.fastq,3815.41
57,ERR317314,ERR317314_1.fastq,2672.33
58,ERR317314,ERR317314_2.fastq,2672.33
59,ERR317316,ERR317316_1.fastq,5488.02
60,ERR317316,ERR317316_2.fastq,5488.02
61,ERR317317,ERR317317_1.fastq,2053.03
62,ERR317317,ERR317317_2.fastq,2053.03
63,ERR317318,ERR317318_1.fastq,2527.29
64,ERR317318,ERR317318_2.fastq,2527.29
65,ERR317319,ERR317319_1.fastq,1969.13
66,ERR317319,ERR317319_2.fastq,1969.13
67,ERR317320,ERR317320_1.fastq,2089.37
68,ERR317320,ERR317320_2.fastq,2089.37
69,ERR317321,ERR317321_1.fastq,3543.94
70,ERR317321,ERR317321_2.fastq,3543.94
71,ERR317325,ERR317325_1.fastq,7702.66
72,ERR317325,ERR317325_2.fastq,7702.66
73,ERR317327,ERR317327_1.fastq,2166.59
74,ERR317327,ERR317327_2.fastq,2166.59
75,ERR317330,ERR317330_1.fastq,4503.69
76,ERR317330,ERR317330_2.fastq,4503.69
77,ERR317333,ERR317333_1.fastq,10247.98
78,ERR317333,ERR317333_2.fastq,10247.98
79,ERR317335,ERR317335_1.fastq,7479.92
80,ERR317335,ERR317335_2.fastq,7479.92
81,ERR317338,ERR317338_1.fastq,6759.22
82,ERR317338,ERR317338_2.fastq,6759.22
83,ERR317339,ERR317339_1.fastq,1762.72
84,ERR317339,ERR317339_2.fastq,1762.72
85,ERR317340,ERR317340_1.fastq,2953.12
86,ERR317340,ERR317340_2.fastq,2953.12
87,ERR317343,ERR317343_1.fastq,4364.33
88,ERR317343,ERR317343_2.fastq,4364.33
89,ERR317344,ERR317344_1.fastq,1.33
90,ERR317344,ERR317344_2.fastq,1.33
91,ERR317345,ERR317345_1.fastq,1.8
92,ERR317345,ERR317345_2.fastq,1.8
93,ERR317346,ERR317346_1.fastq,2297.89
94,ERR317346,ERR317346_2.fastq,2297.89
95,ERR317347,ERR317347_1.fastq,2997.06
96,ERR317347,ERR317347_2.fastq,2997.06
97,ERR317348,ERR317348_1.fastq,4552.1
98,ERR317348,ERR317348_2.fastq,4552.1
99,ERR317349,ERR317349_1.fastq,3517.1
100,ERR317349,ERR317349_2.fastq,3517.1
101,ERR317350,ERR317350_1.fastq,3150.35
102,ERR317350,ERR317350_2.fastq,3150.35
103,ERR317351,ERR317351_1.fastq,11017.13
104,ERR317351,ERR317351_2.fastq,11017.13
105,ERR317352,ERR317352_1.fastq,0.49
106,ERR317352,ERR317352_2.fastq,0.49
107,ERR317354,ERR317354_1.fastq,1927.81
108,ERR317354,ERR317354_2.fastq,1927.81
109,ERR317355,ERR317355_1.fastq,2239.15
110,ERR317355,ERR317355_2.fastq,2239.15
111,ERR317358,ERR317358_1.fastq,10909.98
112,ERR317358,ERR317358_2.fastq,10909.98
113,ERR317359,ERR317359_1.fastq,15157.57
114,ERR317359,ERR317359_2.fastq,15157.57
115,ERR317360,ERR317360_1.fastq,1.82
116,ERR317360,ERR317360_2.fastq,1.82
117,ERR317365,ERR317365_1.fastq,4136.88
118,ERR317365,ERR317365_2.fastq,4136.88
119,ERR317366,ERR317366_1.fastq,16348.34
120,ERR317366,ERR317366_2.fastq,16348.34
121,ERR317371,ERR317371_1.fastq,6142.65
122,ERR317371,ERR317371_2.fastq,6142.65
123,ERR317372,ERR317372_1.fastq,5402.24
124,ERR317372,ERR317372_2.fastq,5402.24
125,ERR317421,ERR317421_1.fastq,3040.36
126,ERR317421,ERR317421_2.fastq,3040.36
127,ERR317433,ERR317433_1.fastq,3053.44
128,ERR317433,ERR317433_2.fastq,3053.44
129,ERR317459,ERR317459_1.fastq,4038.63
130,ERR317459,ERR317459_2.fastq,4038.63
131,ERR317460,ERR317460_1.fastq,3865.7
132,ERR317460,ERR317460_2.fastq,3865.7
133,ERR317465,ERR317465_1.fastq,3296.74
134,ERR317465,ERR317465_2.fastq,3296.74
135,ERR317468,ERR317468_1.fastq,13595.36
136,ERR317468,ERR317468_2.fastq,13595.36
137,ERR317471,ERR317471_1.fastq,3993.74
138,ERR317471,ERR317471_2.fastq,3993.74
139,ERR317472,ERR317472_1.fastq,3817.8
140,ERR317472,ERR317472_2.fastq,3817.8
141,ERR317477,ERR317477_1.fastq,3257.65
142,ERR317477,ERR317477_2.fastq,3257.65
143,ERR317480,ERR317480_1.fastq,13438.9
144,ERR317480,ERR317480_2.fastq,13438.9
145,ERR319977,ERR319977_1.fastq,2459.19
146,ERR319977,ERR319977_2.fastq,2459.19
147,ERR319990,ERR319990_1.fastq,2547.48
148,ERR319990,ERR319990_2.fastq,2547.48
149,ERR320008,ERR320008_1.fastq,2997.79
150,ERR320008,ERR320008_2.fastq,2997.79
151,ERR320010,ERR320010_1.fastq,2526.08
152,ERR320010,ERR320010_2.fastq,2526.08
153,ERR320016,ERR320016_1.fastq,2745.82
154,ERR320016,ERR320016_2.fastq,2745.82
155,ERR320031,ERR320031_1.fastq,2503.89
156,ERR320031,ERR320031_2.fastq,2503.89
157,ERR320052,ERR320052_1.fastq,3087.59
158,ERR320052,ERR320052_2.fastq,3087.59
159,ERR320056,ERR320056_1.fastq,99.94
160,ERR320056,ERR320056_2.fastq,99.94
161,ERR320087,ERR320087_1.fastq,3104.0
162,ERR320087,ERR320087_2.fastq,3104.0
163,ERR320088,ERR320088_1.fastq,3929.51
164,ERR320088,ERR320088_2.fastq,3929.51
165,ERR320090,ERR320090_1.fastq,3711.82
166,ERR320090,ERR320090_2.fastq,3711.82
167,ERR320091,ERR320091_1.fastq,3626.62
168,ERR320091,ERR320091_2.fastq,3626.62
169,ERR320093,ERR320093_1.fastq,3415.42
170,ERR320093,ERR320093_2.fastq,3415.42
171,ERR320095,ERR320095_1.fastq,3884.62
172,ERR320095,ERR320095_2.fastq,3884.62
173,ERR320096,ERR320096_1.fastq,3630.53
174,ERR320096,ERR320096_2.fastq,3630.53
175,ERR320097,ERR320097_1.fastq,4110.39
176,ERR320097,ERR320097_2.fastq,4110.39
177,ERR320098,ERR320098_1.fastq,6619.57
178,ERR320098,ERR320098_2.fastq,6619.57
179,ERR320099,ERR320099_1.fastq,4813.29
180,ERR320099,ERR320099_2.fastq,4813.29
181,ERR320100,ERR320100_1.fastq,5600.6
182,ERR320100,ERR320100_2.fastq,5600.6
183,ERR320102,ERR320102_1.fastq,3501.61
184,ERR320102,ERR320102_2.fastq,3501.61
185,ERR320103,ERR320103_1.fastq,3410.62
186,ERR320103,ERR320103_2.fastq,3410.62
187,ERR320104,ERR320104_1.fastq,4810.38
188,ERR320104,ERR320104_2.fastq,4810.38
189,ERR320105,ERR320105_1.fastq,3440.73
190,ERR320105,ERR320105_2.fastq,3440.73
191,ERR320106,ERR320106_1.fastq,2996.78
192,ERR320106,ERR320106_2.fastq,2996.78
193,ERR320107,ERR320107_1.fastq,4870.5
194,ERR320107,ERR320107_2.fastq,4870.5
195,ERR320108,ERR320108_1.fastq,4250.12
196,ERR320108,ERR320108_2.fastq,4250.12
197,ERR320109,ERR320109_1.fastq,4791.59
198,ERR320109,ERR320109_2.fastq,4791.59
199,ERR320110,ERR320110_1.fastq,4126.05
200,ERR320110,ERR320110_2.fastq,4126.05
201,ERR320111,ERR320111_1.fastq,4036.67
202,ERR320111,ERR320111_2.fastq,4036.67
203,ERR320112,ERR320112_1.fastq,5124.96
204,ERR320112,ERR320112_2.fastq,5124.96
205,ERR320113,ERR320113_1.fastq,4104.69
206,ERR320113,ERR320113_2.fastq,4104.69
207,ERR320114,ERR320114_1.fastq,4228.17
208,ERR320114,ERR320114_2.fastq,4228.17
209,ERR320115,ERR320115_1.fastq,3962.77
210,ERR320115,ERR320115_2.fastq,3962.77
211,ERR320117,ERR320117_1.fastq,4437.69
212,ERR320117,ERR320117_2.fastq,4437.69
213,ERR320118,ERR320118_1.fastq,4337.98
214,ERR320118,ERR320118_2.fastq,4337.98
215,ERR320119,ERR320119_1.fastq,4699.97
216,ERR320119,ERR320119_2.fastq,4699.97
217,ERR320126,ERR320126_1.fastq,7426.25
218,ERR320126,ERR320126_2.fastq,7426.25
219,ERR320127,ERR320127_1.fastq,1072.99
220,ERR320127,ERR320127_2.fastq,1072.99
221,ERR320131,ERR320131_1.fastq,1280.67
222,ERR320131,ERR320131_2.fastq,1280.67
223,ERR320134,ERR320134_1.fastq,4177.65
224,ERR320134,ERR320134_2.fastq,4177.65
225,ERR320135,ERR320135_1.fastq,4883.29
226,ERR320135,ERR320135_2.fastq,4883.29
227,ERR320136,ERR320136_1.fastq,4626.3
228,ERR320136,ERR320136_2.fastq,4626.3
229,ERR320137,ERR320137_1.fastq,3838.28
230,ERR320137,ERR320137_2.fastq,3838.28
231,ERR320139,ERR320139_1.fastq,4460.59
232,ERR320139,ERR320139_2.fastq,4460.59
233,ERR320141,ERR320141_1.fastq,4921.77
234,ERR320141,ERR320141_2.fastq,4921.77
235,ERR320142,ERR320142_1.fastq,4800.41
236,ERR320142,ERR320142_2.fastq,4800.41
237,ERR320143,ERR320143_1.fastq,4753.39
238,ERR320143,ERR320143_2.fastq,4753.39
239,ERR320144,ERR320144_1.fastq,4038.57
240,ERR320144,ERR320144_2.fastq,4038.57
241,ERR320145,ERR320145_1.fastq,4603.96
242,ERR320145,ERR320145_2.fastq,4603.96
243,ERR320146,ERR320146_1.fastq,4198.03
244,ERR320146,ERR320146_2.fastq,4198.03
245,ERR320147,ERR320147_1.fastq,3677.39
246,ERR320147,ERR320147_2.fastq,3677.39
247,ERR320148,ERR320148_1.fastq,4821.85
248,ERR320148,ERR320148_2.fastq,4821.85
249,ERR320149,ERR320149_1.fastq,3849.14
250,ERR320149,ERR320149_2.fastq,3849.14
251,ERR320150,ERR320150_1.fastq,5318.97
252,ERR320150,ERR320150_2.fastq,5318.97
253,ERR320152,ERR320152_1.fastq,4599.42
254,ERR320152,ERR320152_2.fastq,4599.42
255,ERR320154,ERR320154_1.fastq,4253.67
256,ERR320154,ERR320154_2.fastq,4253.67
257,ERR320155,ERR320155_1.fastq,4553.9
258,ERR320155,ERR320155_2.fastq,4553.9
259,ERR320158,ERR320158_1.fastq,4413.19
260,ERR320158,ERR320158_2.fastq,4413.19
261,ERR320159,ERR320159_1.fastq,4411.74
262,ERR320159,ERR320159_2.fastq,4411.74
263,ERR320160,ERR320160_1.fastq,5146.87
264,ERR320160,ERR320160_2.fastq,5146.87
265,ERR320161,ERR320161_1.fastq,3209.42
266,ERR320161,ERR320161_2.fastq,3209.42
267,ERR320163,ERR320163_1.fastq,5932.33
